"","geography","geography_id","state_name","district_name","area","perimeter","max_distance_from_center","id","Schwartzberg"
"136","district",3915,"Ohio",15,1.291297786,0.156639244,0.017837101,152,25.7168372733345
"137","district",3910,"Ohio",10,0.308879296,0.049097004,0.009885303,153,40.1277066546367
"138","district",3800,"North Dakota",0,21.85317155,0.307077849,0.053605315,155,53.9651861775538
"139","district",3701,"North Carolina",1,1.4614209,0.333005213,0.020500198,157,12.8689038722297
"140","district",3703,"North Carolina",3,3.086011653,0.311699478,0.029599824,158,19.9787189668531
"141","district",3706,"North Carolina",6,0.972992959,0.152401393,0.01859267,159,22.9440903494404
"142","district",3705,"North Carolina",5,0.936217936,0.135004635,0.01375474,160,25.4064936099163
"143","district",3709,"North Carolina",9,0.229921157,0.101327012,0.010502459,161,16.775256293028
"144","district",3708,"North Carolina",8,1.172628802,0.13199683,0.018732065,162,29.0818285070778
"145","district",3712,"North Carolina",12,0.139528766,0.120060679,0.013965594,163,11.0289968708837
"146","district",3710,"North Carolina",10,0.672457576,0.101022913,0.014632623,164,28.7751429719682
"147","district",3711,"North Carolina",11,1.777871524,0.169150879,0.024175645,165,27.9435037485753
"148","district",3702,"North Carolina",2,0.850152019,0.172620365,0.013605368,166,18.9348206873351
"149","district",3704,"North Carolina",4,0.273340407,0.138738607,0.012434114,167,13.3585561637673
"150","district",3713,"North Carolina",13,0.604006587,0.181573012,0.012037338,168,15.1731052918264
"151","district",3707,"North Carolina",7,1.678517154,0.218205621,0.019436635,169,21.0475664894192
"152","district",3624,"New York",24,1.047470108,0.083651042,0.012178802,171,43.3714953602892
"153","district",3627,"New York",27,1.483671335,0.114746852,0.013968329,172,37.6298948909239
"154","district",3625,"New York",25,0.361415044,0.044831842,0.006727042,173,47.5358716778998
"155","district",3611,"New York",11,0.032757584,0.015618735,0.002384386,174,41.0785407244268
"156","district",3605,"New York",5,0.033530169,0.019592879,0.00308086,175,33.1302373154555
"157","district",3602,"New York",2,0.089774323,0.025809708,0.003943201,176,41.1526598217597
"158","district",3603,"New York",3,0.101517607,0.025866859,0.004324323,177,43.6648449353258
"159","district",3604,"New York",4,0.048363792,0.018004793,0.002619292,178,43.298910803523
"160","district",3622,"New York",22,1.486143605,0.141588935,0.0185529,179,30.5215092704328
"161","district",3623,"New York",23,2.272480142,0.146042093,0.025645086,180,36.5912235673615
"162","district",3621,"New York",21,4.767619145,0.180177212,0.027215156,181,42.9591665501845
"163","district",3619,"New York",19,2.293803475,0.165560188,0.019533941,182,32.4285196911315
"164","district",3618,"New York",18,0.39509973,0.066436611,0.009255292,183,33.5390554795443
"165","district",3614,"New York",14,0.012206836,0.010972463,0.001710299,184,35.6945870417496
"166","district",3606,"New York",6,0.008652947,0.008403578,0.001381379,185,39.2394325553084
