geography,geography_id,state_name,district_name,area,perimeter,max_distance_from_center,id
district,3618.0,New York,18.0,0.39509973,0.066436611,0.009255292,183
district,3614.0,New York,14.0,0.012206836,0.010972463,0.001710299,184
district,3606.0,New York,6.0,0.008652947,0.008403578,0.001381379,185
district,3608.0,New York,8.0,0.012052319,0.013462281,0.001928035,186
district,3620.0,New York,20.0,0.361724078,0.057290442,0.007611733,187
district,3607.0,New York,7.0,0.004635507,0.013062193,0.001398249,188
district,3612.0,New York,12.0,0.004326473,0.004903213,0.000835289,189
district,3610.0,New York,10.0,0.007262295,0.01813843,0.0021835,190
district,3613.0,New York,13.0,0.00401744,0.005895433,0.000996966,191
district,3626.0,New York,26.0,0.065978719,0.021002244,0.003903737,192
district,3616.0,New York,16.0,0.029049178,0.015351418,0.002200248,193
district,3615.0,New York,15.0,0.00401744,0.004600807,0.000839373,194
district,3617.0,New York,17.0,0.122531907,0.03184844,0.004441809,195
district,3609.0,New York,9.0,0.003862923,0.007282962,0.001051562,196
district,3601.0,New York,1.0,0.540809172,0.062292822,0.010713301,197
state,35.0,New Mexico,,30.89348616,0.373410098,0.069034828,198
district,3502.0,New Mexico,2.0,18.0205342,0.374678214,0.05410986,199
district,3501.0,New Mexico,1.0,1.16227617,0.11418199,0.018241742,200
district,3503.0,New Mexico,3.0,11.65428314,0.307430824,0.051494498,201
state,34.0,New Jersey,,2.072666476,0.128300651,0.022303176,202
district,3409.0,New Jersey,9.0,0.029358212,0.02184353,0.002303152,203
district,3404.0,New Jersey,4.0,0.194845819,0.055955871,0.005839934,204
district,3406.0,New Jersey,6.0,0.116660264,0.053766068,0.006114489,205
district,3402.0,New Jersey,2.0,0.77814714,0.095141172,0.01244516,206
district,3410.0,New Jersey,10.0,0.020859782,0.021188016,0.002381112,207
district,3407.0,New Jersey,7.0,0.272876857,0.068572246,0.007385057,208
district,3411.0,New Jersey,11.0,0.147100095,0.044947643,0.004574169,209
district,3408.0,New Jersey,8.0,0.019005579,0.023732283,0.00239481,210
district,3401.0,New Jersey,1.0,0.100435989,0.040624703,0.005391635,211
district,3405.0,New Jersey,5.0,0.285856277,0.070635101,0.009927482,212
district,3403.0,New Jersey,3.0,0.310888016,0.076407609,0.007957186,213
district,3412.0,New Jersey,12.0,0.113724443,0.048384946,0.005651162,214
state,33.0,New Hampshire,,2.682845168,0.123799584,0.028962868,215
district,3301.0,New Hampshire,1.0,0.776911005,0.123841929,0.014728332,216
district,3302.0,New Hampshire,2.0,1.922653866,0.198862511,0.027932421,217
state,32.0,Nevada,,29.94345135,0.365931992,0.081038725,218
district,3204.0,Nevada,4.0,13.51064926,0.308133406,0.048890644,219
district,3202.0,Nevada,2.0,15.47548624,0.284650883,0.048574936,220
district,3201.0,Nevada,1.0,0.026885942,0.012494174,0.002055637,221
district,3203.0,Nevada,3.0,0.748479894,0.089009716,0.014064077,222
state,31.0,Nebraska,,21.62235643,0.321477607,0.065205057,223
district,3102.0,Nebraska,2.0,0.147254612,0.033439262,0.00497385,224
